,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,LE_angle,RE_angle,Xbound,Ybound,frame_num,action
31,[        832      341.25],[        848      328.75],[        818         327],[        868         340],[      795.5      336.75],[        901         450],[        747         440],[      919.5         574],[        719         560],[        923         680],[        708         666],[        862       681.5],[        764         678],[        854       848.5],[        759         844],[        845        1001],[      753.5      1001.5],186.59441606099017,172.7905596755862,"[683.015625, 959.765625]","[269.75, 1067.25]",32,stand
32,[        833         341],[      848.5       328.5],[      818.5         327],[      868.5      339.75],[        796       336.5],[        902         450],[      747.5      439.75],[        921         574],[      719.5         560],[        923       680.5],[      708.5       665.5],[        862       681.5],[        764         678],[        854       848.5],[        759         844],[        845        1001],[        753        1001],187.63558693115908,172.8447990632322,"[683.296875, 960.046875]","[269.5625, 1067.0625]",33,stand
33,[      833.5       340.5],[      849.5         328],[        819       326.5],[        869      339.75],[        796         336],[        902      449.75],[      747.5       439.5],[        923         573],[      719.5       559.5],[        923       679.5],[        709       665.5],[      862.5       681.5],[      764.5         678],[        854       848.5],[        759         844],[        845        1001],[        753        1001],189.66950525459058,172.523048399672,"[682.953125, 961.203125]","[268.4375, 1067.4375]",34,stand
34,[        834         340],[        850       327.5],[        820         326],[        870       339.5],[        797      335.75],[        903      449.25],[        748         439],[        926       571.5],[        719         559],[        923       679.5],[      709.5       665.5],[        863         681],[        765       677.5],[        854       847.5],[        759         844],[        845      1000.5],[        753        1001],192.24616330798912,171.5114085300901,"[682.828125, 962.328125]","[268.5, 1067.5]",35,stand
35,[        835      339.75],[        851       327.5],[        821      325.75],[      870.5      339.75],[        798         336],[        904       449.5],[        748         439],[      928.5         571],[        718         558],[        923         678],[        710         665],[      863.5         681],[        765       677.5],[        854         847],[        759       843.5],[        845        1000],[        753      1000.5],194.34311073370816,170.12636502628376,"[682.484375, 966.234375]","[268.5625, 1067.5625]",36,stand
36,[        836       339.5],[        852       327.5],[        822      325.75],[        871      339.75],[        799       335.5],[        905       449.5],[        748      438.25],[      932.5         570],[        717       556.5],[      922.5         676],[        711         664],[        864         681],[        765         677],[      853.5         847],[        759         843],[        845        1000],[        753        1000],198.2449457328825,168.50470226773254,"[681.3125, 969.5625]","[268.4375, 1067.4375]",37,stand
37,[      836.5      339.75],[      852.5       327.5],[        823      325.25],[      871.5      339.75],[        800         335],[        905      449.25],[        748         438],[        938       568.5],[      715.5         554],[        921         672],[        713       661.5],[        864         681],[        765         677],[        853         847],[        759       842.5],[        845       999.5],[        753       999.5],204.7959541627587,165.68081340001424,"[678.921875, 974.421875]","[268.1875, 1067.1875]",38,stand
38,[      837.5       339.5],[      853.5       327.5],[        824      324.75],[        872      339.75],[        801       334.5],[        906       449.5],[      748.5         437],[        945         566],[      710.5         551],[        918         665],[      716.5       657.5],[        864         681],[      764.5       676.5],[      853.5         847],[        759       842.5],[        845         999],[      752.5       999.5],213.76380722723943,158.3405285705581,"[676.875, 977.875]","[267.96875, 1066.96875]",39,stand
39,[        839       339.5],[      854.5      327.25],[        825      324.75],[        873      339.75],[        802      334.25],[        907       449.5],[      749.5      436.25],[        950         563],[        704       546.5],[        914       654.5],[        722       649.5],[      863.5       679.5],[        765         675],[      853.5         846],[        759         842],[        845         999],[        753         999],222.22621562712715,147.66138663192436,"[674.21875, 981.96875]","[267.21875, 1067.21875]",40,stand
40,[        840      339.75],[        856       327.5],[      826.5      324.75],[        874       339.5],[        803       333.5],[        908       449.5],[      749.5       435.5],[      955.5         559],[        699       542.5],[        910       640.5],[      729.5         638],[      863.5       679.5],[        765         675],[      853.5         846],[      758.5         842],[        845         999],[        753       998.5],232.62456145263363,137.02242912757265,"[670.5, 985.0]","[267.0625, 1067.0625]",41,stand
